Cre01.g004600.t1.1       jgi|Chlre3|195917        XM_001702081             jgi|Chlre4|195917        Cre01.g004600.t1.2       au5.g1062_t1             Au9.Cre01.g004600.t1     Cre01.g004600.t1.3       
Cre01.g009650.t1.2       jgi|Chlre3|19751         XM_001700241             jgi|Chlre4|19751         Cre01.g009650.t1.1       au5.g1166_t1             Au9.Cre01.g009650.t1     Cre01.g009650.t1.2       
Cre01.g029450.t1.1       jgi|Chlre3|189879        XM_001689525             jgi|Chlre4|189879        Cre01.g029450.t1.2       au5.g1560_t1             Au9.Cre01.g029450.t1     Cre01.g029450.t1.3       
Cre01.g033900.t1.1       jgi|Chlre3|171833        XM_001690026             jgi|Chlre4|171833        Cre01.g033900.t1.2       au5.g1646_t1             Au9.Cre01.g033900.t1     g765.t1                  
Cre01.g033900.t2.1       jgi|Chlre3|171833        XM_001690026             jgi|Chlre4|171833        Cre01.g033900.t1.2       au5.g1646_t1             Au9.Cre01.g033900.t1     g765.t2                  
Cre02.g074150.t1.1       jgi|Chlre3|126346        XM_001701571             jgi|Chlre4|126346        Cre02.g074150.t1.2       au5.g8288_t1             Au9.Cre02.g074150.t1     Cre02.g074150.t2.1       
Cre02.g074150.t2.1       jgi|Chlre3|126346        XM_001701571             jgi|Chlre4|126346        Cre02.g074150.t1.2       au5.g8288_t1             Au9.Cre02.g074150.t1     Cre02.g074150.t1.3       
Cre02.g079200.t1.2       jgi|Chlre3|111791        XM_001701616             jgi|Chlre4|111791        Cre02.g079200.t1.1       au5.g8390_t1             Au9.Cre02.g079200.t1     Cre02.g079200.t1.2       
Cre02.g082550.t1.2       jgi|Chlre3|53522         XM_001701649             jgi|Chlre4|53522         Cre02.g082550.t1.1       au5.g8454_t1             Au9.Cre02.g082550.t1     Cre02.g082550.t1.2       
Cre02.g085150.t1.1       jgi|Chlre3|166327        XM_001701672             jgi|Chlre4|290486        Cre02.g085150.t1.2       au5.g8505_t1             Au9.Cre02.g085150.t1     Cre02.g085150.t2.1       
Cre02.g085150.t2.1       jgi|Chlre3|166327        XM_001701672             jgi|Chlre4|290486        Cre02.g085150.t1.2       au5.g8505_t1             Au9.Cre02.g085150.t1     Cre02.g085150.t1.3       
Cre02.g087551.t1.1       jgi|Chlre3|6783          XM_001701893             jgi|Chlre4|6783          Cre02.g087550.t1.2       au5.g8553_t1             Au9.Cre02.g087550.t1     Cre02.g087550.t1.3       
Cre02.g087600.t1.1       jgi|Chlre3|6783          XM_001701893             jgi|Chlre4|6783          Cre02.g087600.t1.2       au5.g8554_t1             Au9.Cre02.g087600.t1     Cre02.g087600.t1.3       
Cre02.g089200.t1.2       jgi|Chlre3|6823          XM_001701712             jgi|Chlre4|6823          Cre02.g089200.t1.1       au5.g8586_t1             Au9.Cre02.g089200.t1     Cre02.g089200.t1.2       
Cre02.g094150.t1.2       jgi|Chlre3|166515        XM_001701756             jgi|Chlre4|166515        Cre02.g094150.t1.1       au5.g8683_t1             Au9.Cre02.g094150.t1     Cre02.g094150.t1.2       
Cre02.g110150.t1.2       jgi|Chlre3|93505         XM_001699887             jgi|Chlre4|93505         Cre02.g110150.t1.1       au5.g9002_t1             Au9.Cre02.g110150.t1     g2260.t1                 
Cre03.g144747.t1.1       jgi|Chlre3|119283        XM_001695688             jgi|Chlre4|119283        Cre01.g057650.t1.1       au5.g2120_t1             Au9.Cre01.g057650.t1     g2901.t1                 
Cre03.g149350.t1.1       jgi|Chlre3|195838        XM_001695517             jgi|Chlre4|195838        Cre03.g149350.t1.2       au5.g10145_t1            Au9.Cre03.g149350.t1     Cre03.g149350.t1.3       
Cre03.g149400.t1.1       jgi|Chlre3|195891        XM_001695516             jgi|Chlre4|195891        Cre03.g149400.t1.2       au5.g10146_t1            Au9.Cre03.g149400.t1     Cre03.g149400.t1.3       
Cre03.g152450.t1.2       jgi|Chlre3|104871        XM_001697432             jgi|Chlre4|104871        Cre03.g152450.t1.1       au5.g10208_t1            Au9.Cre03.g152450.t1     Cre03.g152450.t1.2       
Cre03.g176651.t1.1       jgi|Chlre3|168936        XM_001703216             --                       Cre03.g176650.t1.2       au5.g10682_t1            Au9.Cre03.g176650.t1     Cre03.g176650.t1.3       
Cre03.g179300.t1.1       --                       --                       jgi|Chlre4|188131        Cre03.g179300.t1.2       --                       Au9.Cre03.g179300.t1     Cre03.g179300.t2.1       
Cre03.g179300.t2.1       --                       --                       jgi|Chlre4|188131        Cre03.g179300.t1.2       --                       Au9.Cre03.g179300.t1     Cre03.g179300.t1.3       
Cre03.g183350.t1.1       jgi|Chlre3|180087        XM_001702876             jgi|Chlre4|180087        Cre03.g183350.t1.2       au5.g10814_t1            Au9.Cre03.g183350.t1     Cre03.g183350.t1.3       
Cre03.g189000.t1.1       jgi|Chlre3|145450        XM_001691974             jgi|Chlre4|206676        Cre03.g189000.t1.2       au5.g10927_t1            Au9.Cre03.g189000.t1     Cre03.g189000.t1.3       
